USER WARNING,Quantity,Purpose,Document_Title,Special_Conditions,Description,Source_Code,Certificate_Number,Valid_Until,Consignee_Country,Management_Authority,Common_Name,Permittee_Country,Consignee_Address,Origin,Permittee_Name,Scientific_Name,Permittee_Address,Consignee_Name,Issue_Date,Security_Stamp
Synthetic Data,5,C,Import Permit,NA,NA,NA,50NA6936415,2/9/2004,Namibia,Ministry of Environment and Tourism,Hunting dog,Namibia,Windhoek,NA,Huntsman Hooman Safari,Lycaon pictus,Morea,Gwembeshe Thabo,1/7/2003,NA 79 835
Synthetic Data,2,C,Import Permit,NA,NA,NA,50NA6936415,2/9/2004,Namibia,Ministry of Environment and Tourism,Rhinoceros viper,Namibia,Windhoek,NA,Huntsman Hooman Safari,Bitis nasicornis,Morea,Gwembeshe Thabo,1/7/2003,NA 79 835
Synthetic Data,5,C,Import Permit,NA,NA,NA,50NA6936415,2/9/2004,Namibia,Ministry of Environment and Tourism,Common ostrich,Namibia,Windhoek,Namibia,Huntsman Hooman Safari,Struthio camelus,Morea,Gwembeshe Thabo,1/7/2003,NA 79 835
Synthetic Data,5,C,Import Permit,NA,NA,NA,50NA6936415,2/9/2004,Namibia,Ministry of Environment and Tourism,Cokes hartebeest,Namibia,Windhoek,Zambia,Huntsman Hooman Safari,Alcelaphus buselaphus,Morea,Gwembeshe Thabo,1/7/2003,NA 79 835
Synthetic Data,4,C,Import Permit,NA,NA,NA,65UG3337985,10/8/2004,Uganda,Uganda Wildlife Authority,Sharp nosed grass frog,Malaysia,Kampali,NA,Joy Urponen,Ptychadena oxyrhynchus,Kuala Lumpur,Koivo Park,1/8/2003,UG 53 322
Synthetic Data,4,C,Import Permit,NA,NA,NA,65UG3337985,10/8/2004,Uganda,Uganda Wildlife Authority,Bongo,Malaysia,Kampali,Zambia,Joy Urponen,Tragelaphus euryceros,Kuala Lumpur,Koivo Park,1/8/2003,UG 53 322
Synthetic Data,6,C,Import Permit,NA,NA,NA,65UG3337985,10/8/2004,Uganda,Uganda Wildlife Authority,Bushbuck,Malaysia,Kampali,Zambia,Joy Urponen,Tragelaphus scriptus,Kuala Lumpur,Koivo Park,1/8/2003,UG 53 322
Synthetic Data,3,C,Import Permit,NA,NA,NA,65UG3337985,10/8/2004,Uganda,Uganda Wildlife Authority,Savannah monitor,Malaysia,Kampali,NA,Joy Urponen,Varanus exanthematicus,Kuala Lumpur,Koivo Park,1/8/2003,UG 53 322
Synthetic Data,4,C,Import Permit,NA,NA,NA,65UG3337985,10/8/2004,Uganda,Uganda Wildlife Authority,Blue Wildebeest,Malaysia,Kampali,Malaysia,Joy Urponen,Connochaetes taurinus,Kuala Lumpur,Koivo Park,1/8/2003,UG 53 322
Synthetic Data,3,C,Import Permit,NA,NA,NA,14MW4194465,7/9/2004,Malawi,Ministry of Information and Tourism,Warthog,Uganda,Liongwe,NA,Outback Safari,Phacochoerus aethiopicus,Jinja,Sithembile Rutendo,1/8/2003,MW 38 633
Synthetic Data,5,C,Import Permit,NA,NA,NA,14MW4194465,7/9/2004,Malawi,Ministry of Information and Tourism,Puff adder,Uganda,Liongwe,NA,Outback Safari,Bitis arietans,Jinja,Sithembile Rutendo,1/8/2003,MW 38 633
Synthetic Data,2,C,Import Permit,NA,NA,NA,14MW4194465,7/9/2004,Malawi,Ministry of Information and Tourism,Great egret,Uganda,Liongwe,NA,Outback Safari,Casmerodius albus,Jinja,Sithembile Rutendo,1/8/2003,MW 38 633
Synthetic Data,5,C,Import Permit,NA,NA,NA,14MW4194465,7/9/2004,Malawi,Ministry of Information and Tourism,Cokes hartebeest,Uganda,Liongwe,Uganda,Outback Safari,Alcelaphus buselaphus,Jinja,Sithembile Rutendo,1/8/2003,MW 38 633
Synthetic Data,6,C,Import Permit,NA,NA,NA,14MW4194465,7/9/2004,Malawi,Ministry of Information and Tourism,Bat-eared fox,Uganda,Liongwe,Uganda,Outback Safari,Otocyon megalotis,Jinja,Sithembile Rutendo,1/8/2003,MW 38 633
Synthetic Data,5,C,Import Permit,NA,NA,NA,14MW4194465,7/9/2004,Malawi,Ministry of Information and Tourism,Crocodile,Uganda,Liongwe,Zambia,Outback Safari,,Jinja,Sithembile Rutendo,1/8/2003,MW 38 633
Synthetic Data,3,C,Import Permit,NA,NA,NA,07UG0097343,11/21/2004,Uganda,Uganda Wildlife Authority,Black-backed jackal,Namibia,Kampali,Namibia,Bratvold Zoo,Canis mesomelas,Morea,Atich Chinwendu,1/9/2003,UG 18 138
Synthetic Data,2,C,Import Permit,NA,NA,NA,07UG0097343,11/21/2004,Uganda,Uganda Wildlife Authority,Forest cobra,Namibia,Kampali,NA,Bratvold Zoo,Naja melanolenca,Morea,Atich Chinwendu,1/9/2003,UG 18 138
Synthetic Data,4,C,Import Permit,NA,NA,NA,07UG0097343,11/21/2004,Uganda,Uganda Wildlife Authority,Flap necked chameleon,Namibia,Kampali,NA,Bratvold Zoo,Chamaeleo delepis,Morea,Atich Chinwendu,1/9/2003,UG 18 138
Synthetic Data,7,C,Import Permit,NA,NA,NA,07UG0097343,11/21/2004,Uganda,Uganda Wildlife Authority,Lesser galago,Namibia,Kampali,Namibia,Bratvold Zoo,Galago senegalensis,Morea,Atich Chinwendu,1/9/2003,UG 18 138
Synthetic Data,2,C,Import Permit,NA,NA,NA,07UG0097343,11/21/2004,Uganda,Uganda Wildlife Authority,Rock hyrax,Namibia,Kampali,Namibia,Bratvold Zoo,Heterohyrax brucei,Morea,Atich Chinwendu,1/9/2003,UG 18 138
Synthetic Data,3,C,Import Permit,NA,NA,NA,27MZ1650159,1/19/2004,Mozambique,National Directorate of Forestry and Wildlife,Greater galago,Botswana,Pemba,Botswana,Outback Park,Galago crassicaudatus,Serowe,Tatenda Mwanajuma,1/9/2003,MZ 41 633
Synthetic Data,4,C,Import Permit,NA,NA,NA,27MZ1650159,1/19/2004,Mozambique,National Directorate of Forestry and Wildlife,Great white pelican,Botswana,Pemba,Botswana,Outback Park,Pelecannus onocrotalus,Serowe,Tatenda Mwanajuma,1/9/2003,MZ 41 633
Synthetic Data,4,C,Import Permit,NA,NA,NA,27MZ1650159,1/19/2004,Mozambique,National Directorate of Forestry and Wildlife,Great cormorant,Botswana,Pemba,NA,Outback Park,Phalacrocorax carbo,Serowe,Tatenda Mwanajuma,1/9/2003,MZ 41 633
Synthetic Data,3,C,Import Permit,NA,NA,NA,27MZ1650159,1/19/2004,Mozambique,National Directorate of Forestry and Wildlife,Blue Wildebeest,Botswana,Pemba,Zambia,Outback Park,Connochaetes taurinus,Serowe,Tatenda Mwanajuma,1/9/2003,MZ 41 633
Synthetic Data,7,C,Import Permit,NA,NA,NA,27MZ1650159,1/19/2004,Mozambique,National Directorate of Forestry and Wildlife,Sable antelope,Botswana,Pemba,Zambia,Outback Park,Hippotragus niger,Serowe,Tatenda Mwanajuma,1/9/2003,MZ 41 633
Synthetic Data,5,C,Import Permit,NA,NA,NA,27MZ1650159,1/19/2004,Mozambique,National Directorate of Forestry and Wildlife,Tree hyrax,Botswana,Pemba,Zambia,Outback Park,Dendrohyrax arboreus,Serowe,Tatenda Mwanajuma,1/9/2003,MZ 41 633
Synthetic Data,5,C,Import Permit,NA,NA,NA,98BW9684035,5/19/2004,Botswana,Department of Wildlife and National Parks,Cokes hartebeest,Germany,Orapa,NA,Schall Safari,Alcelaphus buselaphus,Munster,Chika Onyeka,1/10/2003,BW 90 283
Synthetic Data,5,C,Import Permit,NA,NA,NA,62UG3254263,2/10/2004,Uganda,Uganda Wildlife Authority,Blue Wildebeest,Germany,Jinja,Zambia,Asad Fleck,Connochaetes taurinus,Zurich,Wildlife Broadwell Zoo,1/10/2003,UG 20 491
Synthetic Data,4,C,Import Permit,NA,NA,NA,62UG3254263,2/10/2004,Uganda,Uganda Wildlife Authority,Yellow baboon,Germany,Jinja,NA,Asad Fleck,Papio cynocephalus,Zurich,Wildlife Broadwell Zoo,1/10/2003,UG 20 491
Synthetic Data,6,C,Import Permit,NA,NA,NA,62UG3254263,2/10/2004,Uganda,Uganda Wildlife Authority,Defassa waterbuck,Germany,Jinja,NA,Asad Fleck,Kobus ellipsiprymnus defassa,Zurich,Wildlife Broadwell Zoo,1/10/2003,UG 20 491
Synthetic Data,4,C,Import Permit,NA,NA,NA,66BW6983617,4/21/2004,Botswana,Department of Wildlife and National Parks,African rock python,Namibia,Serowe,Zambia,Huntsman Hooman Safari,Python sebae,Morea,Wildlife Huckenbeck Zoo,1/10/2003,BW 36 623
Synthetic Data,2,C,Import Permit,NA,NA,NA,41ZA7253347,5/28/2004,South Africa,Department of Environmental Affairs and Tourism,Unstriped ground squirrel,South Africa,Bloemfontein,South Africa,Xiaoshan Park,Xerus rutilus,Cape Town,Domevlo Chima,1/11/2003,ZA 95 087
Synthetic Data,4,C,Import Permit,NA,NA,NA,41ZA7253347,5/28/2004,South Africa,Department of Environmental Affairs and Tourism,Flap necked chameleon,South Africa,Bloemfontein,South Africa,Xiaoshan Park,Chamaeleo delepis,Cape Town,Domevlo Chima,1/11/2003,ZA 95 087
Synthetic Data,5,C,Import Permit,NA,NA,NA,41ZA7253347,5/28/2004,South Africa,Department of Environmental Affairs and Tourism,Warthog,South Africa,Bloemfontein,NA,Xiaoshan Park,Phacochoerus aethiopicus,Cape Town,Domevlo Chima,1/11/2003,ZA 95 087
Synthetic Data,4,C,Import Permit,NA,NA,NA,41ZA7253347,5/28/2004,South Africa,Department of Environmental Affairs and Tourism,Kirk's dik dik,South Africa,Bloemfontein,Zambia,Xiaoshan Park,Madoqua kirkii,Cape Town,Domevlo Chima,1/11/2003,ZA 95 087
Synthetic Data,3,C,Import Permit,NA,NA,NA,41ZA7253347,5/28/2004,South Africa,Department of Environmental Affairs and Tourism,Lion,South Africa,Bloemfontein,South Africa,Xiaoshan Park,,Cape Town,Domevlo Chima,1/11/2003,ZA 95 087
Synthetic Data,4,C,Import Permit,NA,NA,NA,41ZA7253347,5/28/2004,South Africa,Department of Environmental Affairs and Tourism,Great white pelican,South Africa,Bloemfontein,South Africa,Xiaoshan Park,Pelecannus onocrotalus,Cape Town,Domevlo Chima,1/11/2003,ZA 95 087
Synthetic Data,5,C,Import Permit,NA,NA,NA,41ZA7253347,5/28/2004,South Africa,Department of Environmental Affairs and Tourism,Long-tailed cormorant,South Africa,Bloemfontein,South Africa,Xiaoshan Park,Phalacrocorax africanus,Cape Town,Domevlo Chima,1/11/2003,ZA 95 087
Synthetic Data,5,C,Import Permit,NA,NA,NA,45MZ8714501,7/30/2004,Mozambique,National Directorate of Forestry and Wildlife,Bohor reedbuck,Botswana,Maputo,NA,Gnutzmann Animal Park,Redunca redunca,Orapa,Uzoma Unathi,1/11/2003,MZ 41 624
Synthetic Data,5,C,Import Permit,NA,NA,NA,45MZ8714501,7/30/2004,Mozambique,National Directorate of Forestry and Wildlife,Black-crowned night heron,Botswana,Maputo,NA,Gnutzmann Animal Park,Nycticorax nycticorax,Orapa,Uzoma Unathi,1/11/2003,MZ 41 624
Synthetic Data,3,C,Import Permit,NA,NA,NA,45MZ8714501,7/30/2004,Mozambique,National Directorate of Forestry and Wildlife,African darter,Botswana,Maputo,NA,Gnutzmann Animal Park,Anhinga rufa,Orapa,Uzoma Unathi,1/11/2003,MZ 41 624
Synthetic Data,6,C,Import Permit,NA,NA,NA,63MZ3444385,1/5/2005,Mozambique,National Directorate of Forestry and Wildlife,Mountain gorilla,Botswana,Inhambane,NA,Olayinka Achieng,Gorilla gorilla beringei,Serowe,Bennis Animal Park,1/12/2003,MZ 92 089
